FECHA (YYMMDD);HORA (HHMM);;
031226;0500;0,488548;
031226;0600;1,69431;
031226;0700;1,56763;
031226;0800;0,769373;
031226;0900;2,06352;
031226;1000;3,41861;
031226;1100;4,26268;
031226;1200;4,44135;
031226;1300;4,71399;
031226;1400;5,57484;
031226;1500;5,26476;
031226;1600;5,3419;
031226;1700;5,50425;
031226;1800;4,85378;
031226;1900;3,57059;
031226;2000;3,08918;
031226;2100;2,51104;
031226;2200;2,56423;
031226;2300;2,51106;
031227;0000;2,36374;
031227;0100;2,36715;
031227;0200;2,37448;
031227;0300;1,37791;
031227;0400;1,91889;
031227;0500;1,55975;
031227;0600;2,11777;
031227;0700;3,00184;
031227;0800;3,06217;
031227;0900;3,86664;
031227;1000;3,8404;
031227;1100;3,13357;
031227;1200;3,34393;
031227;1300;3,37273;
031227;1400;3,91771;
031227;1500;3,77417;
031227;1600;4,11091;
031227;1700;4,09015;
031227;1800;4,12434;
031227;1900;3,70749;
031227;2000;3,72896;
031227;2100;3,44222;
031227;2200;3,32677;
031227;2300;2,4933;
031228;0000;1,67254;
031228;0100;1,59613;
031228;0200;1,45156;
031228;0300;0,769564;
031228;0400;0,310357;
031228;0500;0,242959;
031228;0600;0,124955;
031228;0700;0,504803;
031228;0800;0,749104;
031228;0900;0,346638;
031228;1000;1,49892;
031228;1100;3,10328;
031228;1200;4,01783;
031228;1300;4,0743;
031228;1400;4,31405;
031228;1500;4,95068;
031228;1600;4,72614;
031228;1700;4,65842;
031228;1800;4,0983;
031228;1900;3,01347;
031228;2000;3,37416;
031228;2100;3,07245;
031228;2200;2,50892;
031228;2300;2,0081;
031229;0000;0,704072;
031229;0100;0,584764;
031229;0200;1,69978;
031229;0300;0,946508;
031229;0400;0,914724;
031229;0500;0,347606;
031229;0600;0,668443;
031229;0700;0,787224;
031229;0800;1,29287;
031229;0900;2,01928;
031229;1000;2,6221;
031229;1100;3,90434;
031229;1200;4,80882;
031229;1300;4,81258;
031229;1400;4,93533;
031229;1500;4,94685;
031229;1600;5,27979;
031229;1700;4,86951;
031229;1800;4,3359;
031229;1900;3,62008;
031229;2000;2,35696;
031229;2100;2,82104;
031229;2200;1,81734;
031229;2300;1,87666;
031230;0000;1,66553;
031230;0100;1,71184;
031230;0200;1,32485;
031230;0300;0,633053;
031230;0400;0,413267;
031230;0500;0,681617;
031230;0600;0,23937;
031230;0700;0,587337;
031230;0800;0,910163;
031230;0900;0,74088;
031230;1000;1,11018;
031230;1100;2,45616;
031230;1200;3,66866;
031230;1300;4,43647;
031230;1400;4,51134;
031230;1500;5,12713;
031230;1600;5,659;
031230;1700;4,53483;
031230;1800;3,93752;
031230;1900;3,22951;
031230;2000;2,85414;
031230;2100;3,35667;
031230;2200;2,69468;
031230;2300;1,67962;
031231;0000;1,30296;
031231;0100;1,57124;
031231;0200;1,40716;
031231;0300;0,869184;
031231;0400;0,206983;
031231;0500;0,316649;
031231;0600;0,327157;
031231;0700;0,818933;
031231;0800;0,78272;
031231;0900;1,69966;
031231;1000;2,89103;
031231;1100;4,62466;
031231;1200;5,02309;
031231;1300;5,08958;
031231;1400;5,54649;
031231;1500;5,74168;
031231;1600;5,34843;
031231;1700;4,69141;
031231;1800;3,87476;
031231;1900;3,62053;
031231;2000;3,67868;
031231;2100;3,41711;
031231;2200;2,9678;
031231;2300;1,68408;
040101;0000;1,33058;
040101;0100;1,38123;
040101;0200;1,58624;
040101;0300;1,44707;
040101;0400;0,922233;
040101;0500;0,508548;
040101;0600;0,673194;
040101;0700;0,656934;
040101;0800;1,04209;
040101;0900;1,38578;
040101;1000;2,42635;
040101;1100;3,87107;
040101;1200;4,53374;
040101;1300;5,29243;
040101;1400;5,1675;
040101;1500;5,29941;
040101;1600;5,45135;
040101;1700;4,90691;
040101;1800;4,01788;
040101;1900;3,74543;
040101;2000;3,59354;
040101;2100;3,51535;
040101;2200;3,08073;
040101;2300;1,91801;
040102;0000;1,29265;
040102;0100;1,41764;
040102;0200;0,982407;
040102;0300;1,17109;
040102;0400;0,6011;
040102;0500;0,144226;
040102;0600;0,406097;
040102;0700;0,936213;
040102;0800;0,861542;
040102;0900;1,31623;
040102;1000;1,94853;
040102;1100;2,968;
040102;1200;3,86705;
040102;1300;4,60313;
040102;1400;4,77881;
040102;1500;4,94016;
040102;1600;5,11339;
040102;1700;5,03539;
040102;1800;4,62378;
040102;1900;3,841;
040102;2000;3,00404;
040102;2100;3,36241;
040102;2200;2,92479;
040102;2300;2,01452;
040103;0000;1,43964;
040103;0100;2,25227;
040103;0200;1,94528;
040103;0300;1,30098;
040103;0400;0,344303;
040103;0500;0,20585;
040103;0600;0,688745;
040103;0700;0,771184;
040103;0800;1,60997;
040103;0900;2,00547;
040103;1000;2,08196;
040103;1100;3,31616;
040103;1200;4,16946;
040103;1300;4,66132;
040103;1400;4,73003;
040103;1500;5,82137;
040103;1600;6,15401;
040103;1700;6,36639;
040103;1800;4,33974;
040103;1900;3,59724;
040103;2000;3,03862;
040103;2100;2,97099;
040103;2200;3,30762;
040103;2300;2,27008;
040104;0000;2,41903;
040104;0100;2,08884;
040104;0200;1,73816;
040104;0300;1,55824;
040104;0400;0,775572;
040104;0500;1,23338;
040104;0600;1,064;
040104;0700;0,155773;
040104;0800;0,998203;
040104;0900;1,03635;
040104;1000;1,93847;
040104;1100;3,15747;
040104;1200;4,10284;
040104;1300;4,76839;
040104;1400;5,67567;
040104;1500;5,91354;
040104;1600;5,05566;
040104;1700;5,14021;
040104;1800;4,42149;
040104;1900;3,61166;
040104;2000;3,57269;
040104;2100;4,27576;
040104;2200;3,70334;
040104;2300;2,88604;
040105;0000;2,04292;
040105;0100;1,21755;
040105;0200;1,59;
040105;0300;0,766006;
040105;0400;0,381138;
040105;0500;0,316448;
040105;0600;0,522529;
040105;0700;1,88434;
040105;0800;1,29186;
040105;0900;0,71263;
040105;1000;1,38359;
040105;1100;2,76419;
040105;1200;3,18332;
040105;1300;3,66482;
040105;1400;4,47252;
040105;1500;4,55434;
040105;1600;4,56458;
040105;1700;4,77898;
040105;1800;4,90329;
040105;1900;3,38845;
040105;2000;2,41587;
040105;2100;1,69547;
040105;2200;1,86454;
040105;2300;1,64499;
040106;0000;1,01602;
040106;0100;0,794741;
040106;0200;0,323976;
040106;0300;0,321761;
040106;0400;0,893427;
040106;0500;0,937052;
040106;0600;1,07087;
040106;0700;1,38955;
040106;0800;2,37591;
040106;0900;2,64904;
040106;1000;3,01378;
040106;1100;3,83321;
040106;1200;4,34839;
040106;1300;4,59097;
040106;1400;5,02244;
040106;1500;5,38721;
040106;1600;5,37119;
040106;1700;5,13902;
040106;1800;4,64129;
040106;1900;4,47314;
040106;2000;3,88457;
040106;2100;3,53773;
040106;2200;2,87145;
040106;2300;2,39235;
040107;0000;2,01825;
040107;0100;1,34202;
040107;0200;1,09326;
040107;0300;0,783731;
040107;0400;0,281562;
040107;0500;0,407133;
040107;0600;0,396451;
040107;0700;1,08436;
040107;0800;1,83641;
040107;0900;1,86022;
040107;1000;3,53444;
040107;1100;4,56937;
040107;1200;5,29082;
040107;1300;5,15395;
040107;1400;5,25558;
040107;1500;5,1847;
040107;1600;5,31068;
040107;1700;4,89371;
040107;1800;4,60194;
040107;1900;4,03155;
040107;2000;3,67373;
040107;2100;3,39256;
040107;2200;2,73779;
040107;2300;2,07458;
040108;0000;1,66799;
040108;0100;1,4371;
040108;0200;1,36375;
040108;0300;1,08293;
040108;0400;1,27557;
040108;0500;0,651855;
040108;0600;1,00372;
040108;0700;1,39448;
040108;0800;1,82971;
040108;0900;2,0294;
040108;1000;3,78274;
040108;1100;4,62164;
040108;1200;4,94532;
040108;1300;5,73148;
040108;1400;6,02328;
040108;1500;5,82082;
040108;1600;5,81104;
040108;1700;5,79153;
040108;1800;4,86409;
040108;1900;3,65209;
040108;2000;3,32163;
040108;2100;3,38877;
040108;2200;2,91893;
040108;2300;1,6212;
040109;0000;1,65759;
040109;0100;1,83488;
040109;0200;1,85749;
040109;0300;1,73174;
040109;0400;1,48245;
040109;0500;0,599887;
040109;0600;0,304237;
040109;0700;0,696732;
040109;0800;0,520409;
040109;0900;1,03369;
040109;1000;1,5888;
040109;1100;3,70991;
040109;1200;4,46207;
040109;1300;4,44775;
040109;1400;4,63274;
040109;1500;5,06799;
040109;1600;4,9454;
040109;1700;4,64532;
040109;1800;4,26369;
040109;1900;3,19345;
040109;2000;2,55342;
040109;2100;1,92262;
040109;2200;1,85039;
040109;2300;1,42571;
040110;0000;0,831102;
040110;0100;0,26363;
040110;0200;0,602802;
040110;0300;0,993383;
040110;0400;1,48247;
040110;0500;0,903882;
040110;0600;1,48582;
040110;0700;1,8623;
040110;0800;1,18956;
040110;0900;0,997869;
040110;1000;2,49476;
040110;1100;3,75167;
040110;1200;4,24947;
040110;1300;3,85061;
040110;1400;4,6125;
040110;1500;4,96506;
040110;1600;4,59496;
040110;1700;4,92119;
040110;1800;4,68311;
040110;1900;3,45432;
040110;2000;2,19297;
040110;2100;1,98243;
040110;2200;1,25462;
040110;2300;0,839462;
040111;0000;1,62123;
040111;0100;1,39936;
040111;0200;0,548401;
040111;0300;0,466244;
040111;0400;0,948605;
040111;0500;0,909617;
040111;0600;0,796037;
040111;0700;0,695357;
040111;0800;1,17473;
040111;0900;1,04025;
040111;1000;1,27365;
040111;1100;3,43353;
040111;1200;4,75751;
040111;1300;5,05602;
040111;1400;5,71638;
040111;1500;5,98058;
040111;1600;5,60583;
040111;1700;5,55578;
040111;1800;5,07793;
040111;1900;4,04509;
040111;2000;3,69405;
040111;2100;3,15786;
040111;2200;2,73707;
040111;2300;1,83137;
040112;0000;1,2802;
040112;0100;1,59485;
040112;0200;0,918327;
040112;0300;0,887609;
040112;0400;1,26061;
040112;0500;1,26001;
040112;0600;1,45559;
040112;0700;2,2154;
040112;0800;2,12986;
040112;0900;2,47698;
040112;1000;3,29946;
040112;1100;4,18429;
040112;1200;5,01147;
040112;1300;5,6937;
040112;1400;5,59997;
040112;1500;5,8502;
040112;1600;5,23647;
040112;1700;5,30909;
040112;1800;4,84122;
040112;1900;3,98867;
040112;2000;3,04108;
040112;2100;2,69124;
040112;2200;1,57426;
040112;2300;2,37463;
040113;0000;0,992558;
040113;0100;0,992908;
040113;0200;0,628655;
040113;0300;0,996872;
040113;0400;0,705482;
040113;0500;0,35494;
040113;0600;0,54254;
040113;0700;1,18694;
040113;0800;1,04646;
040113;0900;1,12416;
040113;1000;2,61307;
040113;1100;3,1708;
040113;1200;3,69938;
040113;1300;5,24878;
040113;1400;5,81736;
040113;1500;5,45509;
040113;1600;5,84779;
040113;1700;5,21716;
040113;1800;5,51375;
040113;1900;5,1918;
040113;2000;3,57718;
040113;2100;3,21931;
040113;2200;2,79532;
040113;2300;1,86989;
040114;0000;1,03921;
040114;0100;1,01894;
040114;0200;1,04088;
040114;0300;1,16243;
040114;0400;1,24602;
040114;0500;0,532529;
040114;0600;1,07979;
040114;0700;2,24617;
040114;0800;2,67196;
040114;0900;3,13697;
040114;1000;4,18079;
040114;1100;4,71764;
040114;1200;5,56728;
040114;1300;5,76749;
040114;1400;5,39896;
040114;1500;5,25249;
040114;1600;5,22381;
040114;1700;4,5226;
040114;1800;4,43278;
040114;1900;4,10841;
040114;2000;2,76246;
040114;2100;2,2597;
040114;2200;2,68226;
040114;2300;1,91995;
040115;0000;1,12495;
040115;0100;0,206409;
040115;0200;3,64112;
040115;0300;2,65044;
040115;0400;2,65222;
040115;0500;2,75164;
040115;0600;2,68922;
040115;0700;2,08851;
040115;0800;2,06387;
040115;0900;2,38608;
040115;1000;2,89985;
040115;1100;3,76527;
040115;1200;3,87732;
040115;1300;4,34731;
040115;1400;3,85521;
040115;1500;4,41647;
040115;1600;4,88326;
040115;1700;4,69814;
040115;1800;4,32951;
040115;1900;3,61653;
040115;2000;3,1787;
040115;2100;3,51118;
040115;2200;2,90746;
040115;2300;2,28843;
040116;0000;2,15279;
040116;0100;1,85921;
040116;0200;1,16167;
040116;0300;1,63986;
040116;0400;1,40614;
040116;0500;1,75696;
040116;0600;1,34705;
040116;0700;1,42802;
040116;0800;1,3384;
040116;0900;1,0177;
040116;1000;2,28701;
040116;1100;3,89025;
040116;1200;4,46338;
040116;1300;4,87572;
040116;1400;5,05383;
040116;1500;5,06979;
040116;1600;4,36819;
040116;1700;4,35077;
040116;1800;4,07284;
040116;1900;3,47985;
040116;2000;2,9931;
040116;2100;2,55094;
040116;2200;1,96394;
040116;2300;1,6669;
040117;0000;1,22678;
040117;0100;0,684887;
040117;0200;1,36358;
040117;0300;1,43345;
040117;0400;1,85716;
040117;0500;0,826244;
040117;0600;0,541389;
040117;0700;0,66079;
040117;0800;1,28897;
040117;0900;1,35928;
040117;1000;0,783854;
040117;1100;2,12842;
040117;1200;2,9906;
040117;1300;4,68076;
040117;1400;5,06952;
040117;1500;5,94839;
040117;1600;6,03219;
040117;1700;5,49532;
040117;1800;4,52467;
040117;1900;3,92569;
040117;2000;3,65739;
040117;2100;3,52315;
040117;2200;2,76597;
040117;2300;2,65962;
040118;0000;1,37758;
040118;0100;0,709805;
040118;0200;1,1218;
040118;0300;1,3337;
040118;0400;0,604703;
040118;0500;0,20664;
040118;0600;0,504221;
040118;0700;0,470601;
040118;0800;1,30679;
040118;0900;0,905645;
040118;1000;0,89755;
040118;1100;3,29935;
040118;1200;4,03448;
040118;1300;4,45699;
040118;1400;5,11237;
040118;1500;5,45106;
040118;1600;5,27032;
040118;1700;5,29646;
040118;1800;4,59145;
040118;1900;3,3363;
040118;2000;3,28338;
040118;2100;3,37993;
040118;2200;3,0297;
040118;2300;2,36481;
040119;0000;1,05483;
040119;0100;1,52037;
040119;0200;1,22654;
040119;0300;1,51899;
040119;0400;0,940963;
040119;0500;0,517015;
040119;0600;0,663199;
040119;0700;1,01949;
040119;0800;0,96897;
040119;0900;1,61163;
040119;1000;2,25515;
040119;1100;3,52492;
040119;1200;4,0052;
040119;1300;4,4332;
040119;1400;4,31065;
040119;1500;4,48395;
040119;1600;5,07764;
040119;1700;4,98444;
040119;1800;4,6316;
040119;1900;4,40952;
040119;2000;5,05708;
040119;2100;4,04057;
040119;2200;3,45257;
040119;2300;2,98804;
040120;0000;2,71901;
040120;0100;3,32893;
040120;0200;2,7672;
040120;0300;2,6629;
040120;0400;2,20599;
040120;0500;1,41494;
040120;0600;0,594249;
040120;0700;0,356735;
040120;0800;1,58935;
040120;0900;2,17813;
040120;1000;2,01256;
040120;1100;3,36605;
040120;1200;4,15633;
040120;1300;4,33952;
040120;1400;4,42608;
040120;1500;4,5674;
040120;1600;5,33051;
040120;1700;5,54752;
040120;1800;4,79523;
040120;1900;3,74387;
040120;2000;3,05139;
040120;2100;2,63157;
040120;2200;3,00031;
040120;2300;2,48377;
040121;0000;1,50655;
040121;0100;1,00644;
040121;0200;1,61249;
040121;0300;1,36185;
040121;0400;1,25386;
040121;0500;0,45055;
040121;0600;0,892715;
040121;0700;1,09841;
040121;0800;0,681478;
040121;0900;0,462501;
040121;1000;1,43419;
040121;1100;3,77269;
040121;1200;4,20621;
040121;1300;4,75222;
040121;1400;5,60632;
040121;1500;5,41521;
040121;1600;5,15662;
040121;1700;4,8642;
040121;1800;4,59061;
040121;1900;4,21935;
040121;2000;3,03701;
040121;2100;3,13224;
040121;2200;3,08962;
040121;2300;2,52436;
040122;0000;1,62659;
040122;0100;2,05008;
040122;0200;2,66573;
040122;0300;2,30451;
040122;0400;1,76302;
040122;0500;1,43351;
040122;0600;1,4032;
040122;0700;1,28198;
040122;0800;0,93329;
040122;0900;1,16421;
040122;1000;2,15119;
040122;1100;3,49848;
040122;1200;4,47194;
040122;1300;4,62072;
040122;1400;4,63577;
040122;1500;5,15041;
040122;1600;4,95389;
040122;1700;4,5799;
040122;1800;4,77373;
040122;1900;3,93931;
040122;2000;3,75938;
040122;2100;3,51744;
040122;2200;3,40784;
040122;2300;2,0304;
040123;0000;1,83299;
040123;0100;1,81093;
040123;0200;2,09132;
040123;0300;1,93812;
040123;0400;1,61138;
040123;0500;1,29095;
040123;0600;0,965065;
040123;0700;1,53884;
040123;0800;2,42635;
040123;0900;3,05357;
040123;1000;2,9659;
040123;1100;3,76999;
040123;1200;4,96429;
040123;1300;4,90108;
040123;1400;4,52267;
040123;1500;4,77154;
040123;1600;4,99525;
040123;1700;5,08047;
040123;1800;4,17857;
040123;1900;3,19682;
040123;2000;2,71014;
040123;2100;3,19983;
040123;2200;2,85071;
040123;2300;2,13078;
040124;0000;1,10794;
040124;0100;1,37965;
040124;0200;0,68819;
040124;0300;1,21872;
040124;0400;1,1;
040124;0500;0,539196;
040124;0600;1,01467;
040124;0700;0,482923;
040124;0800;0,545898;
040124;0900;0,93646;
040124;1000;1,68874;
040124;1100;2,90882;
040124;1200;3,72718;
040124;1300;4,6059;
040124;1400;5,16698;
040124;1500;5,65826;
040124;1600;5,46442;
040124;1700;4,4651;
040124;1800;4,07893;
040124;1900;3,8671;
040124;2000;3,58268;
040124;2100;3,71612;
040124;2200;3,59667;
040124;2300;2,24304;
040125;0000;1,35426;
040125;0100;1,66084;
040125;0200;1,35915;
040125;0300;1,13219;
040125;0400;0,974545;
040125;0500;0,348849;
040125;0600;0,167226;
040125;0700;0,527883;
040125;0800;0,440058;
040125;0900;0,636395;
040125;1000;0,939013;
040125;1100;3,80239;
040125;1200;4,8369;
040125;1300;4,71626;
040125;1400;5,09704;
040125;1500;4,7588;
040125;1600;4,87381;
040125;1700;5,51439;
040125;1800;4,73891;
040125;1900;3,51716;
040125;2000;2,28484;
040125;2100;2,73616;
040125;2200;3,08357;
040125;2300;2,83372;
040126;0000;1,80765;
040126;0100;1,46158;
040126;0200;1,22685;
040126;0300;0,720838;
040126;0400;0,66881;
040126;0500;0,983915;
040126;0600;1,56584;
040126;0700;1,44954;
040126;0800;1,14638;
040126;0900;1,15557;
040126;1000;1,51963;
040126;1100;2,6466;
040126;1200;3,74406;
040126;1300;4,31371;
040126;1400;4,56991;
040126;1500;4,54996;
040126;1600;5,45428;
040126;1700;5,00883;
040126;1800;4,14935;
040126;1900;3,48468;
040126;2000;3,12902;
040126;2100;2,78901;
040126;2200;3,08649;
040126;2300;2,10199;
040127;0000;0,892794;
040127;0100;1,40323;
040127;0200;1,56837;
040127;0300;1,65114;
040127;0400;1,53512;
040127;0500;1,30542;
040127;0600;1,20914;
040127;0700;1,71364;
040127;0800;0,900702;
040127;0900;0,782084;
040127;1000;0,863585;
040127;1100;2,16112;
040127;1200;2,87992;
040127;1300;4,72256;
040127;1400;4,90192;
040127;1500;4,89748;
040127;1600;5,05803;
040127;1700;4,79057;
040127;1800;4,35734;
040127;1900;3,9283;
040127;2000;2,61681;
040127;2100;2,59269;
040127;2200;2,486;
040127;2300;1,9052;
040128;0000;1,34358;
040128;0100;1,53568;
040128;0200;1,64641;
040128;0300;1,43727;
040128;0400;0,464202;
040128;0500;0,867764;
040128;0600;0,453166;
040128;0700;1,01478;
040128;0800;1,22343;
040128;0900;1,42972;
040128;1000;1,39441;
040128;1100;2,32395;
040128;1200;3,52612;
040128;1300;3,47588;
040128;1400;4,2606;
040128;1500;5,03673;
040128;1600;5,49313;
040128;1700;5,97937;
040128;1800;5,13148;
040128;1900;3,05546;
040128;2000;1,66442;
040128;2100;1,16852;
040128;2200;1,95646;
040128;2300;1,3611;
040129;0000;1,18288;
040129;0100;1,48687;
040129;0200;1,07013;
040129;0300;0,186283;
040129;0400;1,16358;
040129;0500;0,655359;
040129;0600;0,856437;
040129;0700;0,863268;
040129;0800;0,802648;
040129;0900;0,222879;
040129;1000;1,23427;
040129;1100;3,15927;
040129;1200;3,34869;
040129;1300;3,83694;
040129;1400;4,23502;
040129;1500;4,78332;
040129;1600;5,433;
040129;1700;5,69849;
040129;1800;5,41051;
040129;1900;4,24923;
040129;2000;1,68426;
040129;2100;2,12791;
040129;2200;3,07879;
040129;2300;2,65069;
040130;0000;1,82248;
040130;0100;1,78303;
040130;0200;1,82521;
040130;0300;1,69633;
040130;0400;1,16781;
040130;0500;1,27816;
040130;0600;1,38467;
040130;0700;1,48103;
040130;0800;2,07122;
040130;0900;2,59477;
040130;1000;2,7967;
040130;1100;3,4208;
040130;1200;4,16434;
040130;1300;4,55835;
040130;1400;4,83887;
040130;1500;5,08725;
040130;1600;5,55195;
040130;1700;5,93116;
040130;1800;4,54816;
040130;1900;4,12059;
040130;2000;3,89683;
040130;2100;3,36309;
040130;2200;3,17623;
040130;2300;2,32585;
040131;0000;1,84003;
040131;0100;1,81465;
040131;0200;2,15656;
040131;0300;1,80474;
040131;0400;1,49328;
040131;0500;0,170303;
040131;0600;0,342032;
040131;0700;0,166365;
040131;0800;0,279897;
040131;0900;0,947618;
040131;1000;2,31007;
040131;1100;3,48513;
040131;1200;3,91743;
040131;1300;3,84489;
040131;1400;4,59943;
040131;1500;4,66776;
040131;1600;4,89417;
040131;1700;4,58942;
040131;1800;4,31409;
040131;1900;3,17133;
040131;2000;3,04183;
040131;2100;2,32943;
040131;2200;3,07772;
040131;2300;2,49592;
040201;0000;0,98277;
040201;0100;0,990514;
040201;0200;1,33735;
040201;0300;1,01599;
040201;0400;0,506124;
040201;0500;0,366253;
040201;0600;0,339744;
040201;0700;1,03028;
040201;0800;1,01132;
040201;0900;0,98442;
040201;1000;1,84917;
040201;1100;3,67886;
040201;1200;3,96407;
040201;1300;4,4922;
040201;1400;4,69975;
